key,group,title,description,active,has_outrights
americanfootball_ncaaf,American Football,NCAAF,US College Football,True,False
americanfootball_ncaaf_championship_winner,American Football,NCAAF Championship Winner,US College Football Championship Winner,True,True
americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2026/2027,True,True
americanfootball_ufl,American Football,UFL,United Football League,True,False
aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
baseball_kbo,Baseball,KBO,KBO League,True,False
baseball_mlb,Baseball,MLB,Major League Baseball,True,False
baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2026,True,True
baseball_ncaa,Baseball,NCAA Baseball,US College Baseball,True,False
baseball_npb,Baseball,NPB,Nippon Professional Baseball,True,False
basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,True,False
basketball_nba,Basketball,NBA,US Basketball,True,False
basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2025/2026,True,True
basketball_ncaab,Basketball,NCAAB,US College Basketball,True,False
basketball_ncaab_championship_winner,Basketball,NCAAB Championship Winner,US College Basketball Championship Winner,True,True
boxing_boxing,Boxing,Boxing,Boxing Bouts,True,False
cricket_international_t20,Cricket,International Twenty20,International Twenty20,True,False
cricket_ipl,Cricket,IPL,Indian Premier League,True,False
cricket_psl,Cricket,Pakistan Super League,Pakistan Super League,True,False
golf_masters_tournament_winner,Golf,Masters Tournament Winner,2026 Winner,True,True
golf_pga_championship_winner,Golf,PGA Championship Winner,2026 Winner,True,True
golf_the_open_championship_winner,Golf,The Open Winner,2026 Winner,True,True
golf_us_open_winner,Golf,US Open Winner,2026 Winner,True,True
handball_germany_bundesliga,Handball,Handball-Bundesliga,German HBL,True,False
icehockey_ahl,Ice Hockey,AHL,American Hockey League,True,False
icehockey_liiga,Ice Hockey,Liiga,Finnish SM League,True,False
icehockey_mestis,Ice Hockey,Mestis,Finnish Mestis League,True,False
icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,True,False
icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2025/2026,True,True
icehockey_sweden_allsvenskan,Ice Hockey,HockeyAllsvenskan,Swedish Hockey Allsvenskan,True,False
icehockey_sweden_hockey_league,Ice Hockey,SHL,Swedish Hockey League,True,False
lacrosse_ncaa,Lacrosse,NCAA Lacrosse,College Lacrosse,True,False
mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,True,False
politics_us_presidential_election_winner,Politics,US Presidential Elections Winner,2028 US Presidential Election Winner,True,True
rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,True,False
rugbyleague_nrl_state_of_origin,Rugby League,State of Origin,State of Origin series,True,False
soccer_argentina_primera_division,Soccer,Primera División - Argentina,Argentine Primera División,True,False
soccer_australia_aleague,Soccer,A-League,Aussie Soccer,True,False
soccer_austria_bundesliga,Soccer,Austrian Football Bundesliga,Austrian Soccer,True,False
soccer_belgium_first_div,Soccer,Belgium First Div,Belgian First Division A,True,False
soccer_brazil_campeonato,Soccer,Brazil Série A,Brasileirão Série A,True,False
soccer_brazil_serie_b,Soccer,Brazil Série B,Campeonato Brasileiro Série B,True,False
soccer_chile_campeonato,Soccer,Primera División - Chile,Campeonato Chileno,True,False
soccer_china_superleague,Soccer,Super League - China,Chinese Soccer,True,False
